tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
148.7599945,102.25,9032,88.33251953,44536.48828,2,10.81654756,12.32067944,1.437990134,8.569001743,3584756,889320,4474076,80.12,1,215,8.904969215,39.5241394
153.8000031,60.20000076,9837,163.4053192,121867.0234,3,10.43913257,3.329414515,1.261464248,4.154683601,4592875,2743520,7336395,62.6,3,104,33.10504913,15.23353004
188.0700073,14.19999981,4299,302.7464905,155011.9688,3,6.710794714,4.828841025,0.161141575,0.942725914,684290,1516880,2201170,31.09,1,45,5.633979797,56.75167847
113.9499969,16.28000069,4623,283.9680481,106302.8203,3,14.69886341,6.617897735,1.565112879,6.47193764,1181330,549280,1730610,68.26,3,44,9.898176193,11.29678535
81.38999939,11.47000027,2022,176.285965,66439.75781,3,9.71703164,8.979560772,1.493181675,6.174678242,592574,169490,762064,77.76,3,25,9.898176193,11.29678535
319.6199951,84.58000183,149883,1772.085571,858945.125,1,14.34921814,9.177487078,1.056928311,5.633480451,46722732,24626310,71349042,65.48,1,443,8.904969215,39.5241394
191.8099976,38.31000137,4185,109.2404022,76497.78125,3,9.521502203,17.17992377,2.510381727,7.927305733,2102410,828220,2930630,71.74,1,136,0,76.68603516
166.1699982,8.119999886,9240,1137.93103,510894.7188,2,17.06028615,10.28910693,4.278208928,7.782878727,3182705,965760,4148465,76.72,1,36,0,76.68603516
206.8099976,96.41000366,69296,718.7636108,328330,2,10.78422375,8.932234946,1.168226934,5.622680903,23251315,8333230,31584545,73.62,1,400,8.904969215,39.5241394
121.6100006,14.96000004,26862,1795.588257,895325.75,2,13.111695,12.89662226,1.828331083,3.592402401,11186223,2207850,13394073,83.52,3,67,9.898176193,11.29678535
104.0299988,22.78000069,3349,147.0149231,59519.3125,3,12.78504259,8.891691559,2.18342737,6.187262603,979680,376170,1355850,72.26,3,13,9.898176193,11.29678535
462.480011,17.25,11026,639.1884155,587425.9375,2,10.18148746,8.606924418,1.236926874,4.681885508,4612527,5520570,10133097,45.52,3,85,0,16.86346436
507.5299988,1.289999962,1373,1064.341064,658463.5625,2,12.94710025,9.087634121,2.250599822,8.982032403,596458,252960,849418,70.22,3,15,0,16.86346436
97.88999939,13.64000034,4682,343.255127,155829.1719,2,12.12814807,9.787298107,2.2705139,6.363649195,1736160,389350,2125510,81.68,3,47,9.898176193,11.29678535
148.0299988,99.12999725,38552,388.9034729,156211.0938,2,11.59869695,8.606976788,1.982886245,6.826884113,13093610,2391595,15485205,84.56,3,220,9.898176193,11.29678535
507.2200012,60.11999893,4415,73.4364624,76605.375,3,8.364319734,14.16649387,0.278579051,6.716729834,3005595,1599920,4605515,65.26,1,154,0,76.68603516
252.6699982,13.88000011,12579,906.2680054,496769.3125,2,16.00492694,10.08394586,1.298984012,7.017243115,4918548,1976610,6895158,71.33,3,34,0,16.86346436
179.7100067,91.94000244,31103,338.2966919,190644.2344,2,11.86423968,6.547364215,1.266682611,5.254791351,13506352,4021480,17527832,77.06,2,280,12.07579041,31.49303818
115.4899979,14.81000042,2625,177.2451019,77524.57813,2,12.0678768,10.28673357,2.280908496,6.892458143,895929,252210,1148139,78.03,3,17,9.898176193,11.29678535
